Bank Name,Number of Website Pages,Total Words(Master Text),Average Sentence Length(Master Text),Bog Index(Master Text),Number of StyleWriter Chunks(Master Text),Total Words(Refined Text),Average Sentence Length(Refined Text),Bog Index(Refined Text),Number of StyleWriter Chunks(Refined Text)
360 mortgage group llc,0,0,0,0,1,0,0,0,1
academy mortgage,0,0,0,0,1,0,0,0,1
alaska usa mortgage company,0,0,0,0,1,0,0,0,1
brand mtg grp llc,0,0,0,0,1,0,0,0,1
carrington mortgage services llc,0,0,0,0,1,0,0,0,1
castle mortgage corporation,0,0,0,0,1,0,0,0,1
commerce home mortgage llc,0,0,0,0,1,0,0,0,1
interlinc mortgage services llc,0,0,0,0,1,0,0,0,1
jmac  lending inc,295,0,0,0,1,0,0,0,1
live well financial inc,0,0,0,0,1,0,0,0,1
loancare llc,0,0,0,0,1,0,0,0,1
mccue mortgage company,0,0,0,0,1,0,0,0,1
new jersey housing and mortgage finance agency,0,0,0,0,1,0,0,0,1
phh mortgage,0,0,0,0,1,0,0,0,1
pulte mortgage llc,0,0,0,0,1,0,0,0,1
south pacific financial corporation,0,0,0,0,1,0,0,0,1
the bankers guarantee title  trust company,3,0,0,0,1,0,0,0,1
towne mortgage company,0,0,0,0,1,0,0,0,1
utah housing corporation,0,0,0,0,1,0,0,0,1
village capital  investment,23,0,0,0,1,0,0,0,1
crown mortgage company,1,692,9.7,22,1,591,16.4,20,1
draper and kramer mortgage corporation,2771,320252,14.6,28,1,303510,16.8,31,1
leaderone financial corporation,1,466,5.8,36,1,367,9.4,31,1
quicken loans,4263,300115.75,12.5875,31.375,8,281506,14,32.625,8
arklatex fin svcs,18256,228934,10.8,33,1,204208,14.3,34,1
aurora financial group inc,63,16086,12,31,1,14379,15.5,34,1
stockton mortgage corporation,3410,315134,13.9,32,1,292695,17.2,34,1
mortgage center lc,74,7669,9.1,36,1,6634,12,35,1
summit funding inc,184,47560,12.3,33,1,43858,15.2,35,1
ruoff home mortgage,674,237825,11.7,34,1,219034,14.9,36,1
united security financial,297,33543,11.8,36,1,29936,15.4,36,1
homebridge financial services,1562,214563,6.325,35.5,4,181278,9.6,36.5,4
mi financial llc,2986,322347,11.8,36,1,281735,15.4,38,1
nationstar mortgage,1390,265306,13.4,36,1,248021,16.6,38,1
ranlife inc,51022,224172,10,31,1,184391,15,38,1
veritas funding llc,83,30726,13.1,36,1,28972,16.9,38,1
cardinal financial company,222,121263,14.3,37,1,115280,16.3,39,1
cherry creek mortgage co inc,858,163731,12.8,38,1,150875,16.1,39,1
evergreen moneysource mortgage,470,62391,9.7,41,1,52791,15.3,39,1
embrace home loans inc,2381,585578,13.7,40,1,552774,16.1,40,1
firstkey mortgage llc,10,47,3.4,121,1,16,5.3,40,1
gateway mortgage corporation,26,3629,9,40,1,3074,15.8,40,1
essex mortgage,165,47673,14.6,39,1,45212,17.1,41,1
mortgage access corp,1,190,5.6,48,1,142,11.8,41,1
southern trust mortgage llc,205,51643,11.7,41,1,46416,17.1,41,1
total mortgage services,6408,571964,14.2,39,1,539905,16.4,41,1
vip mortgage inc,4183,139125,10.5,42,1,121589,14.9,41,1
american pacific mortgage,847,229754,11.5,42,1,206492,16.3,42,1
direct mortgage corp,2,512,10,42,1,418,16.7,42,1
eagle home mortgage inc,34,6228,10.3,41,1,5714,13.2,42,1
finance of america mortgage llc,379,67972,10,43,1,59177,14,42,1
first choice loan services inc a berkshire bank company,2525,350618,13.5,43,1,322917,15.4,42,1
first home mortgage corporation,159,53744,12.6,42,1,50117,15.8,42,1
freedom mortgage,528,144425,14.2,41,1,136711,16,42,1
r p funding inc,377,57554,10.9,46,1,49973,15.6,42,1
vandyk mortgage corporation,4,798,7,46,1,656,11.9,42,1
amerisave mortgage,420,92315,14.1,42,1,84893,16.1,43,1
assurance financial group llc,67,38432,14.3,41,1,36915,16.1,43,1
atlantic bay mortgage grp llc,425,285358,14.5,41,1,272883,16.8,43,1
atlantic home loans inc,232,41125,11.9,43,1,37550,16.2,43,1
delmar financial company,42,8144,10.1,41,1,7189,15.4,43,1
gsf mortgage corp,1,909,8,35,1,778,15,43,1
international city mortgage inc,20,1446,6.7,44,1,1070,13.7,43,1
loan simple inc,63,6008,8.7,47,1,5068,12.8,43,1
primary residential mortgage inc,2,1031,7,45,1,839,10.4,43,1
right start mortgage inc,12,1730,7.1,46,1,1357,11.1,43,1
wintrust mortgage company,776,367109,15.6,41,1,352963,17.6,43,1
suburban mortgage inc,49,10083,11.1,42,1,9086,16.1,44,1
sunwest mortgage company,4,123779,8.1,44,1,103568,11.8,44,1
thrive mortgage llc,3,300,5.3,49,1,242,11,44,1
universal lending corporation,63,845,6.4,41,1,680,12.6,44,1
amerifirst financial corp,831,182317,14,44,1,172011,16.4,45,1
bay equity,78,20798,13.1,42,1,19485,15.5,45,1
guild mortgage,3562,347154,9.6,53,1,287308,15.5,45,1
home financing center inc,12,2845,12,44,1,2604,16.8,45,1
homestead funding corp,224,53340,10.6,45,1,46810,15.1,45,1
megastar financial corp,527,30819,10.2,43,1,26581,16.9,45,1
nations lending corporation,238,119449,17.1,43,1,115738,18.9,45,1
oceanside mortgage company,146,42718,16.1,42,1,40245,18.3,45,1
platinum home mortgage corp,2252,134217,10.7,45,1,117786,14.3,45,1
primelending plainscapital,783,398921,14.5,43,1,379967,16.5,45,1
standard mortgage corporation,127,22324,10.6,44,1,19955,14.5,45,1
allied mortgage group,53,0,0,0,1,15278,15.1,46,1
harborone mortgage llc,199,30500,8.9,56,1,25560,14.9,46,1
loandepotcom,665,363977,15.8,43,1,348143,17.6,46,1
michigan mutual inc,9,5912,12.6,47,1,5277,14.9,46,1
peoples mortgage corp,532,40212,7.4,53,1,31311,14.8,46,1
