Date & Time	Document	Draft	Total Words	Average Sentence	Passive Index	Style Index	Bog Index	Reading Grade	Jargon	Glue	Pep	Task	Audience	Author
31 Oct 2019 14:47	Clipboard Text	Original	7	3.5	0	0	139	13.7	0.0	43	4	General Writing	Public	Unknown
31 Oct 2019 14:49	1st_alliance_lending_llc_all.docx	Original	10761	15.2	17	79	49	11.0	0.8	43	16	General Writing	Public	john
31 Oct 2019 14:51	1st_alliance_lending_llc_refined.docx	Original	10172	18.6	22	81	52	12.1	0.6	44	14	General Writing	Public	john
31 Oct 2019 14:53	acopia_capital_group_all.docx	Original	5345	11.4	13	57	60	11.2	1.0	39	16	General Writing	Public	john
31 Oct 2019 14:54	acopia_capital_group_refined.docx	Original	4838	15.6	18	58	59	12.2	0.9	41	14	General Writing	Public	john
31 Oct 2019 14:57	alabama_housing_finance_authority_all.docx	Original	53158	13.4	12	53	65	12.2	1.7	36	14	General Writing	Public	john
31 Oct 2019 15:06	alabama_housing_finance_authority_refined.docx	Original	48025	17.2	17	54	66	13.1	1.1	39	12	General Writing	Public	john
31 Oct 2019 15:13	allied_mortgage_group_all.docx	Original	16440	12.6	12	56	46	10.3	1.2	38	17	General Writing	Public	john
31 Oct 2019 15:16	allied_mortgage_group_refined.docx	Original	15278	15.1	15	57	46	10.9	1.1	39	16	General Writing	Public	john
31 Oct 2019 15:19	amcap_mortgage_ltd_all.docx	Original	271	5.6	4	29	63	10.3	3.7	25	23	General Writing	Public	john
31 Oct 2019 15:19	amcap_mortgage_ltd_refined.docx	Original	196	9.3	10	40	54	10.3	4.1	31	23	General Writing	Public	john
31 Oct 2019 15:21	american_financial_network_inc_all.docx	Original	34569	5.7	2	29	78	11.3	1.5	29	17	General Writing	Public	john
31 Oct 2019 15:26	american_financial_network_inc_refined.docx	Original	24910	9.2	5	32	52	9.6	1.2	36	17	General Writing	Public	john
31 Oct 2019 15:31	american_financial_resources_all.docx	Original	11783	15.0	15	84	73	14.3	2.5	37	16	General Writing	Public	john
31 Oct 2019 15:33	american_financial_resources_refined.docx	Original	10633	20.6	23	91	79	16.2	2.4	40	14	General Writing	Public	john
31 Oct 2019 15:45	american_pacific_mortgage_all.docx	Original	229754	11.5	7	38	42	9.5	1.1	37	18	General Writing	Public	john
31 Oct 2019 16:21	american_pacific_mortgage_refined.docx	Original	206492	16.3	12	41	42	10.8	0.9	40	15	General Writing	Public	john
31 Oct 2019 16:55	amerifirst_financial_corp_all.docx	Original	182317	14.0	10	39	44	9.9	0.9	41	15	General Writing	Public	john
